name,category,alcohol_content,internal_prize,member_prize,external_prize,in_stock,new
Brekeriet Currciculo,Öl,6.0,24,27,30,1,0
Brekeriet Nova Bruin,Öl,7.5,48,54,60,1,0
Chimay Vit,Öl,8.0,40,45,50,1,0
Collective Arts Radio the Mothership Imperial IPA,Öl,8.5,40,44,49,1,0
Collective Arts Stranger Than Fiction Porter,Öl,5.5,40,45,50,1,0
Dugges Big Idjit,Öl,12.0,64,72,80,1,0
Dugges Ka-Pow!,Öl,10.7,74,83,92,1,0
Dugges Mango Mango Mango ,Öl,4.5,39,43,48,1,0
Dugges Tropic Thunder,Öl,4.5,37,42,46,1,0
Duvel 8.5%,Öl,8.5,36,40,44,1,0
Electric Nurse Imperial Stout,Öl,8.5,48,54,60,1,0
Fermenterarna Fruit Train,Öl,4.5,49,54,61,1,0
Kronenbourg 1664 Blanc,Öl,5.0,31,35,39,1,0
Mikkeller Chipotle Porter,Öl,6.6,45,50,56,1,0
Morgondagens Dead Head Candy Weisse,Öl,4.5,45,50,56,1,0
Oppigårds Amarillo,Öl,5.9,29,33,36,1,0
Oppigårds Indian Tribute,Öl,6.6,30,34,37,1,0
Oppigårds Thurbo Stout,Öl,8.7,40,44,49,1,0
S:t Eriks Elderflower IPA,Öl,6.4,34,38,42,1,0
S:t Eriks IPA,Öl,5.3,28,31,35,1,0
S:t Eriks Lager,Öl,5.1,26,29,32,1,0
Ten Hands Violetta,Öl,6.8,48,54,60,1,0
Timmermans Framboise,Öl,5.0,29,32,36,1,0
To Øl Garden of Eden 2.0,Öl,6.4,40,45,50,1,0
To Øl Mr. Orange,Öl,5.5,32,36,40,1,0
Trappiste Rochefort 8,Öl,9.2,45,50,56,1,0
Tripel Karmeliet,Öl,8.4,40,45,50,1,0
Berliner Kindl Jubiläums Pilsener,Tapp,5.1,23,26,29,1,0
Innis & Gunn Gunnpowder IPA,Tapp,5.6,29,32,36,1,0
Magners Irish Cider Apple,Tapp,4.5,26,29,33,1,0
Zubr Premium,Tapp,5.1,20,24,27,1,0
Absolut Mixt Blueberry & Lime,Cider,4.0,32,36,40,1,0
Absolut Mixt Raspberry & Lemon,Cider,4.0,32,36,40,1,0
Cidraie Original Organic,Cider,4.0,33,36,41,1,0
Hjerta Lemon Cider,Cider,4.5,21,23,26,1,0
Klassiker Cider Peach,Cider,7.0,25,28,31,1,0
Kopparbergs Elderflower & Lime,Cider,4.0,21,24,26,1,0
Local Hard Seltzer,Cider,4.5,27,30,34,1,0
Magners Irish Cider,Cider,4.5,24,27,30,1,0
Garage Hard Lemon,Cider,4.0,30,34,37,1,0
Somersby Cloudy Organic Pear,Cider,4.5,31,35,38,1,0
Somersby Sparkling Rosé,Cider,4.5,30,34,37,1,0
Xide Cactus Lime,Cider,4.5,29,32,36,1,0
Xide Raspberry Blossom,Cider,4.5,29 kr,32 kr,36 kr,1,0
Apotekarnes Julmust,Alkoholfritt,0.0,11,12,14,1,0
Brooklyn Special Effects,Alkoholfritt,0.4,17,19,21,1,0
Coca-Cola,Alkoholfritt,0.0,10,11,12,1,0
Fanta,Alkoholfritt,0.0,10,11,12,1,0
Fentimans Apple & Blackberry,Alkoholfritt,0.0,26 kr,29 kr,32 kr,1,0
Fentimans Curiosity Cola,Alkoholfritt,0.0,26,29,32,1,0
Fentimans Gently Sparkling Elderflower,Alkoholfritt,0.0,26,29,32,1,0
Fentimans Victorian Lemonade,Alkoholfritt,0.0,24,27,30,1,0
Mikkeller Drink'In The Sun,Alkoholfritt,0.3,23,25,28,1,0
Pepsi Max,Alkoholfritt,0.0,11,12,14,1,0
Pepsi Max Lime,Alkoholfritt,0.0,10,11,12,1,0
Ramlösa Original,Alkoholfritt,0.0,10,11,12,1,0
Ramlösa Citrus,Alkoholfritt,0.0,10,11,12,1,0
Redbull,Alkoholfritt,0.0,14,16,18,1,0
Redbull Sugarfree,Alkoholfritt,0.0,14,16,18,1,0
Somersby Pear Alkoholfri,Alkoholfritt,0.0,15,17,19,1,0
Somersby Secco Alkoholfri,Alkoholfritt,0.0,17,19,21,1,0
Sprite,Alkoholfritt,0.0,10,11,12,1,0
La Tourelle du Cavalier Viognier,Vitt,0,22,25,28,1,0
Gustav Riesling,Vitt,0,26,29,32,1,0
Moselland Riesling Kabinett,Vitt,0,24,27,30,1,0
La Tourelle du Cavalier Viognier (flaska),Vitt,0,88,100,112,1,0
Gustav Riesling (flaska),Vitt,0,102,114,128,1,0
Moselland Riesling Kabinett (flaska),Vitt,0,96,107,119,1,0
,,0,,,,1,0
,,0,,,,1,0
,,0,,,,1,0
Dão Casal Mor,Rött,0,28,32,36,1,0
Dão Casal Mor (flaska),Rött,0,112,128,144,1,0
La Tourelle du Cavalier Syrah,Rött,0,22,25,28,1,0
La Tourelle du Cavalier Syrah (flaska),Rött,0,88,100,112,1,0
,,0,,,,1,0
,,0,,,,1,0
,,0,,,,1,0
Torre Oria Cava Brut (flaska),Rött,0,100,116,128,1,0
F. Bergonneau-Marion (Champagne flaska),Rött,0,256,256,256,1,0
,,0,,,,1,0
,,0,,,,1,0
,,0,,,,1,0
Sprit,Sprit,0,8,10,13,1,0
Finsprit,Sprit,0,12,15,18,1,0
Finwhiskey,Sprit,0,15,20,25,1,0
,,0,,,,1,0
,,0,,,,1,0
,,0,,,,1,0
Dagens mat,Mat,0,30,40,50,1,0
Nachos,Mat,0,15,15,20,1,0
Pommes,Mat,0,20,25,30,1,0
Popcorn,Mat,0,10,12,16,1,0
Tost,Mat,0,15,25,35,1,0
